kod_lakma;kategorie_excel;kod_lakma_full;kod_pl;kod_celni;ean_ks;ean_krt;nazev_zkraceny;objem;zaruka_dny;karton_ks;vrstva_ks;vrstva_krt;vrstva_pocet;paleta_ks;paleta_krt;hmotnost_vyrobek_kg;hmotnost_karton_kg;hmotnost_paleta_kg;rozmer_karton_delka_m;rozmer_karton_hloubka_m;rozmer_karton_vyska_m;vyrobek_delka_cm;vyrobek_hloubka_cm;vyrobek_vyska_cm
1011909;SIDOLUX PROFFESIONAL;01011909;121-01-061-0042;3402909000;5902986208027;5902986208034;SDX PROFESSIONAL KUCHYNĚ 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1011910;SIDOLUX PROFFESIONAL;01011910;121-01-061-0041;3402909000;5902986208041;5902986208058;SDX PROFESSIONAL KOUPELNY 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1011903;SIDOLUX PROFFESIONAL;01011903;121-01-061-0039;3402909000;5902986244810;5902986244827;SDX PROFESSIONAL KUCHYNĚ DOYPACK 500ml;500ml;1080;14;196;14;5;980;70;0.531;7.43;520.1;0.27;0.23;0.24;13;6.4;22.8
1011904;SIDOLUX PROFFESIONAL;01011904;121-01-061-0038;3402909000;5902986244919;5902986244926;SDX PROFESSIONAL KOUPELNY DOYPACK M+L 500ml;500ml;1080;14;196;14;5;980;70;0.531;7.43;520.1;0.27;0.23;0.24;13;6.4;22.8
1011912;SIDOLUX PROFFESIONAL;01011912;131-01-061-0127;3402909000;5902986245190;5902986245206;SDX PROFESSIONAL KUCHYNĚ 500+250ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1011913;SIDOLUX PROFFESIONAL;01011913;131-01-061-0126;3402909000;5902986245114;5902986245183;SDX PROFESSIONAL KOUPELNY 500+250ml;750ml;1080;10;110;11;4;440;44;0.816;8.16;359.04;0.345;0.22;0.285;10.8;6.8;28
1011915;SIDOLUX PROFFESIONAL;01011915;131-01-061-0130;3402909000;5902986271069;5902986271076;SDX PROFESSIONAL PŘIPÁLENINY 500ml;500ml;1080;12;180;15;4;720;60;0.555;6.72;403.2;0.275;0.21;0.275;10.8;6.8;26.5
1011916;SIDOLUX PROFFESIONAL;01011916;131-01-061-0129;3402909000;5902986244117;5902986244124;SDX PROFESSIONAL ČISTIČ ODPADŮ 1000ml;1000ml;720;9;126;14;4;504;56;1.1;9.9;554.4;0.32;0.18;0.29;10;5;28
1011919;SIDOLUX PROFFESIONAL;01011919;121-01-061-0040;3402909000;5902986292835;5902986294842;SDX PROFESSIONAL KOUPELNY LEVAND 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
1012011;SIDOLUX WINDOW;01012011;121-01-051-0062;3402909000;5902986223303;5902986223310;SDX OKNA&ZRCADLA LEMON 500ml;500ml;1080;10;150;15;4;600;60;0.555;5.55;333;0.265;0.225;0.28;10.5;5.2;26
