market;category_id;name;path;depth;source_url
CZ;5555;Pneuměřiče;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Pneuměřiče;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5566;Podpěry pod auto;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Podpěry pod auto;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;881;Alkohol testery;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Alkohol testery;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2788;Autolékárny;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Autolékárny;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5415;Hevery;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Hevery;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5471;Mechanické zabezpečení vozidel;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Mechanické zabezpečení vozidel;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2884;Nabíječky a startovací boxy;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Nabíječky a startovací boxy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6603;Sady na opravu pneumatik;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Sady na opravu pneumatik;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2085;Startovací kabely;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Startovací kabely;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2789;Tažná lana;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Tažná lana;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6902;Tažné tyče;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Tažné tyče;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5780;Škrabky a smetáčky na auto;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Povinná a doporučená výbava | Škrabky a smetáčky na auto;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5747;Přívěsné vozíky;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Přívěsné vozíky;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1272;Sněhové řetězy;Heureka.cz | Auto-moto | Vše pro auta | Autodoplňky | Sněhové řetězy;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3923;Alternátory;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Alternátory;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1279;Autobaterie;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Autobaterie;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3413;Brzdové a spojkové hadice;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Brzdný systém auta | Brzdové a spojkové hadice;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3184;Brzdové bubny;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Brzdný systém auta | Brzdové bubny;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3343;Brzdové destičky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Brzdný systém auta | Brzdové destičky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3183;Brzdové kotouče;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Brzdný systém auta | Brzdové kotouče;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6249;Brzdové čelisti;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Brzdný systém auta | Brzdové čelisti;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1293;Hlavice řadící páky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly interiéru | Hlavice řadící páky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1292;Madla ruční brzdy;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly interiéru | Madla ruční brzdy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1290;Sportovní pedály;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly interiéru | Sportovní pedály;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1288;Sportovní sedačky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly interiéru | Sportovní sedačky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;1289;Sportovní volanty;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly interiéru | Sportovní volanty;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3323;Auto zrcátka;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Auto zrcátka;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;4468;Autoskla;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Autoskla;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3325;Blatníky, podběhy, bočnice k vozům;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Blatníky, podběhy, bočnice k vozům;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3330;Nárazníky a díly;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Nárazníky a díly;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3329;Přední kapoty, zadní víka, střechy;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Přední kapoty, zadní víka, střechy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3341;Přední masky;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Přední masky;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3324;Rámy, sloupky a prahy;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly karoserie | Rámy, sloupky a prahy;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3178;Dorazy tlumičů;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Dorazy tlumičů;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3802;Autokolové šrouby a matice;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Díly k autokolům | Autokolové šrouby a matice;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3181;Ložiska kol;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Díly k autokolům | Ložiska kol;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3182;Náboje kol;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Díly k autokolům | Náboje kol;7;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3179;Poloosy a homokinetické klouby;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Poloosy a homokinetické klouby;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3177;Pružiny pérování;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Pružiny pérování;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3171;Ramena řízení;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Ramena řízení;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6407;Stabilizátory aut;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Stabilizátory aut;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3175;Tlumiče pérování;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Tlumiče pérování;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6408;Uložení tlumičů;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Uložení tlumičů;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3180;Čepy a táhla řízení;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Čepy a táhla řízení;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3172;Čepy ramen;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly podvozku | Čepy ramen;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;3339;Autoklimatizace a nezávislé topení;Heureka.cz | Auto-moto | Vše pro auta | Autodíly | Díly v motorovém prostoru | Autoklimatizace a nezávislé topení;6;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
